step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,3825,17,0.2321835018278493,0.0,0.6802973977695167,0.3375049256733395,0.0,0.7200956937799043
2,6970,34,0.1937891492971791,0.0,0.7214076246334311,,,
3,8483,51,0.3027278763379097,0.0,0.7676767676767676,,,
4,10132,68,0.2050176290414066,0.1176470592617988,0.8304347826086956,0.2644205034878177,0.294117659330368,0.8587896253602305
5,11781,85,0.1842614867036169,0.5882353186607361,0.9022988505747126,,,
6,13566,102,0.1665296214514695,0.4705882370471954,0.9169675090252708,,,
7,14807,119,0.1703489699454033,0.5882353186607361,0.9175824175824177,0.2539656030925809,0.0588235296308994,0.8088235294117647
8,16456,136,0.1284297843361788,0.294117659330368,0.8864864864864865,,,
9,17969,153,0.1537368364445635,0.294117659330368,0.8936170212765957,,,
10,19346,170,0.1612167092579166,0.7058823704719543,0.9227053140096618,0.2165473012674648,0.4117647111415863,0.8470149253731343
11,20995,187,0.1596644801823351,0.4705882370471954,0.9333333333333332,,,
12,22780,204,0.101855237850509,0.4705882370471954,0.9296296296296296,,,
13,26197,221,0.0798402205083711,0.529411792755127,0.9347826086956522,0.284518510902237,0.1176470592617988,0.8275862068965517
14,28798,238,0.0899933210091751,0.1764705926179886,0.943310657596372,,,
15,30991,255,0.0898299356589796,0.3529411852359772,0.927927927927928,,,
16,33184,272,0.1030290225239256,0.4705882370471954,0.934065934065934,0.2811327947340782,0.294117659330368,0.8464566929133859
17,34833,289,0.1496817337536722,0.4117647111415863,0.8823529411764706,,,
18,36754,306,0.1354695586155053,0.4705882370471954,0.9310344827586208,,,
19,38403,323,0.1135633306180166,0.4117647111415863,0.9454545454545454,0.1780938967382966,0.4705882370471954,0.8571428571428571
20,40188,340,0.1194901598417742,0.3529411852359772,0.9274447949526814,,,
21,41429,357,0.1432343956800083,0.529411792755127,0.9383561643835616,,,
22,44982,374,0.061068419349967,0.529411792755127,0.9476923076923076,0.2687259883691829,0.3529411852359772,0.8424908424908425
23,47039,391,0.0875020214923255,0.4705882370471954,0.9527272727272728,,,
