step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,260,4,0.7980048347661182,0.0,0.5106382978723404,0.521145643150934,0.0,0.631578947368421
2,456,8,0.5050768021905241,0.0,0.5714285714285714,,,
3,780,12,0.6267051449773771,0.0,0.6428571428571429,,,
4,1104,16,0.3033816438143549,0.25,0.8181818181818182,0.2539349900869515,0.0,0.8588235294117647
5,1492,20,0.2452812776835344,0.0,0.7868852459016393,,,
6,1784,24,0.232742297255206,0.25,0.85,,,
7,2044,28,0.2859425294689458,0.25,0.925925925925926,0.3748987882081666,0.0,0.7611940298507462
8,2400,32,0.208717643323284,0.25,0.8962264150943396,,,
9,2756,36,0.1554907805675549,0.5,0.9607843137254902,,,
10,3080,40,0.1895638050956023,0.75,0.9423076923076924,0.2728606709659704,0.25,0.875
11,3340,44,0.2257013045805451,0.5,0.8611111111111112,,,
12,4240,48,0.091738335714774,0.5,0.9212598425196852,,,
13,4532,52,0.1766076139186673,0.5,0.9166666666666666,0.0997841935371267,0.5,0.9478260869565216
14,4760,56,0.1984609264508492,0.75,0.9629629629629628,,,
15,5084,60,0.1809898806400633,0.75,0.9230769230769232,,,
16,5312,64,0.3110317086584997,0.25,0.873015873015873,0.3030832290560511,0.25,0.8717948717948718
17,5668,68,0.0945215138537383,0.75,0.9743589743589745,,,
18,5864,72,0.1435107827677446,1.0,1.0,,,
19,6252,76,0.2311813773169433,0.25,0.9054054054054054,0.2707774538054802,0.25,0.8780487804878049
20,6480,80,0.1762305701995095,0.5,0.8837209302325582,,,
21,6772,84,0.1628253673864421,0.25,0.94,,,
22,7032,88,0.1332668470795468,0.5,0.9444444444444444,0.4061628965409466,0.0,0.8775510204081632
23,7260,92,0.1831172613521264,0.75,0.945945945945946,,,
24,8096,96,0.0981905297565252,0.5,0.9523809523809524,0.1900766388274064,0.5,0.9166666666666666
25,8324,100,0.2714294615703059,0.25,0.8837209302325582,,,
26,8584,104,0.1480516053036652,0.25,0.9491525423728814,,,
27,8780,108,0.1151848171866362,0.75,0.9642857142857144,,,
28,9136,112,0.1030182107158685,0.5,0.9423076923076924,0.2158381561746978,0.25,0.8813559322033898
29,9460,116,0.1784229265525467,0.25,0.946808510638298,,,
30,9720,120,0.0894147416701315,0.5,0.9523809523809524,,,
31,10076,124,0.0962356288549771,0.5,0.9518072289156626,0.2800150225791598,0.25,0.8974358974358975
32,10976,128,0.0487960345652512,0.5,0.9692307692307692,,,
33,11812,132,0.0697163213738534,0.5,0.9695121951219512,0.1800793311385386,0.75,0.94
34,12168,136,0.0939710026749192,0.5,0.9714285714285714,,,
35,12460,140,0.0986339316914735,1.0,1.0,,,
36,12848,144,0.1199691185236323,0.75,0.9347826086956522,0.1255963107144964,0.75,0.9722222222222222
37,13108,148,0.0918308316436793,0.75,0.9803921568627452,,,
38,13368,152,0.0846186586764746,0.75,0.9871794871794872,,,
39,13756,156,0.0636560621382803,0.75,0.9722222222222222,0.105476707577213,0.25,0.9191919191919192
40,14016,160,0.0951645252331857,1.0,1.0,,,
41,14244,164,0.076606983160283,0.75,0.9772727272727272,,,
42,14568,168,0.1374919806703764,0.25,0.927536231884058,0.1992772437108637,0.5,0.90625
43,14796,172,0.1099753922468315,0.75,0.95,,,
44,15024,176,0.0672313728615307,1.0,1.0,,,
45,15348,180,0.0668272427306768,1.0,1.0,0.0972468205021127,0.75,0.9574468085106383
46,15608,184,0.0825863866535546,1.0,1.0,,,
47,15836,188,0.0912177652642625,0.5,0.945945945945946,,,
48,16128,192,0.0639164875906064,1.0,1.0,0.2171367463696305,0.75,0.9615384615384616
49,16388,196,0.0629536023482362,1.0,1.0,,,
50,16744,200,0.0864207736383931,0.5,0.9285714285714286,,,
51,17100,204,0.0412628025212254,1.0,1.0,0.1524890578111225,0.75,0.9642857142857144
52,17328,208,0.0922934323397783,1.0,1.0,,,
53,17620,212,0.0474413500035205,1.0,1.0,,,
54,17880,216,0.046762658129706,1.0,1.0,0.1721426938381295,0.5,0.9375
55,18140,220,0.0596410965275602,1.0,1.0,,,
56,18400,224,0.037602702966754,0.75,0.9615384615384616,,,
57,18628,228,0.0452064144842925,1.0,1.0,,,
58,18952,232,0.0416061780632298,1.0,1.0,0.1180273241674909,0.75,0.9743589743589745
59,19212,236,0.0433812114852233,1.0,1.0,,,
60,19440,240,0.0426270224598864,1.0,1.0,,,
61,19700,244,0.0500222632610832,0.75,0.9782608695652174,,,
62,19992,248,0.0421302261773257,1.0,1.0,0.1804777096328232,0.5,0.8648648648648649
63,20284,252,0.0538531068687859,0.75,0.9629629629629628,,,
64,20576,256,0.0734181096905186,0.25,0.9523809523809524,,,
65,20964,260,0.0335387909313635,1.0,1.0,0.3042608741031734,0.25,0.9104477611940298
66,21224,264,0.0480628522219655,0.75,0.9615384615384616,,,
67,21484,268,0.0680732699844173,0.75,0.9875,,,
68,22384,272,0.0442194176482414,0.75,0.9746835443037974,0.1277478173349688,0.25,0.9518072289156626
69,22580,276,0.0731875259267866,1.0,1.0,,,
70,22968,280,0.0486765279400956,1.0,1.0,,,
71,23804,284,0.0292356683387566,0.75,0.99438202247191,0.1803306725731192,0.5,0.9333333333333332
72,24160,288,0.036993922789824,1.0,1.0,,,
73,24420,292,0.0396655833120543,1.0,1.0,,,
74,24776,296,0.0292727012674611,1.0,1.0,0.2179429801980482,0.5,0.9047619047619048
75,25132,300,0.0638817374698401,1.0,1.0,,,
76,25392,304,0.0416380051064816,1.0,1.0,,,
77,25748,308,0.0261534473935838,1.0,1.0,0.198091438827497,0.25,0.9253731343283582
78,26008,312,0.0267424153956863,1.0,1.0,,,
79,26844,316,0.0310617405521597,0.75,0.9939024390243902,0.2022911494623757,0.75,0.972972972972973
80,27104,320,0.0357970382299689,1.0,1.0,,,
81,27460,324,0.0399486743895452,1.0,1.0,,,
82,27720,328,0.0465938911336822,1.0,1.0,0.3218925892688262,0.25,0.8769230769230769
83,27980,332,0.0324432101757418,1.0,1.0,,,
84,28336,336,0.0286831971475417,1.0,1.0,,,
85,28724,340,0.0251919463545559,1.0,1.0,0.165540287191074,1.0,1.0
86,28984,344,0.0411766636166952,1.0,1.0,,,
87,29308,348,0.0484486895810908,1.0,1.0,,,
88,29600,352,0.0265029951562952,1.0,1.0,0.1226687405335715,0.25,0.9494949494949496
89,30500,356,0.0291075498377213,0.75,0.992248062015504,,,
90,30728,360,0.061982279640707,1.0,1.0,,,
91,31020,364,0.0389566234009184,1.0,1.0,0.2257506605602591,0.0,0.9012345679012346
92,31280,368,0.031052379993691,1.0,1.0,,,
93,31636,372,0.0249203984377226,1.0,1.0,,,
94,31896,376,0.0320749668940397,1.0,1.0,0.3504282696696493,0.5,0.8805970149253731
95,32188,380,0.0395421796208658,1.0,1.0,,,
96,32576,384,0.0439412699406768,0.75,0.9882352941176472,,,
