step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,520,8,0.898870646880215,0.0,0.4358974358974359,0.4522619582564806,0.0,0.6335877862595419
2,1040,16,0.47712813279511,0.0,0.5733333333333334,,,
3,1816,24,0.3483299980626498,0.0,0.7327586206896551,,,
4,3040,32,0.1773973473713453,0.0,0.8243243243243243,0.2502052121295605,0.25,0.8732394366197183
5,4072,40,0.1698443053874612,0.5,0.8787878787878788,,,
6,4720,48,0.2143509767008526,0.125,0.8507462686567164,,,
7,5240,56,0.2209136719089429,0.25,0.875,0.2409895589250162,0.125,0.8520408163265306
8,5952,64,0.206945574364242,0.5,0.928,,,
9,6472,72,0.1541922653844025,0.75,0.9310344827586208,,,
10,6992,80,0.154155077608928,0.875,0.9649122807017544,0.174997352267583,0.875,0.96
11,7768,88,0.1832206540602501,0.125,0.9,,,
12,8416,96,0.1888978510095879,0.625,0.8979591836734694,,,
13,8936,104,0.1890855180817601,0.375,0.9342105263157896,0.1171434862151894,0.25,0.8831168831168831
14,9520,112,0.2385528908751237,0.375,0.883495145631068,,,
15,10232,120,0.1361817211644145,0.125,0.9159663865546218,,,
16,11200,128,0.1961824708556105,0.25,0.8936170212765957,0.164978973217456,0.125,0.8932038834951457
17,11784,136,0.1428960912061315,0.5,0.926605504587156,,,
18,12432,144,0.1889592312072545,0.375,0.9338842975206612,,,
19,13016,152,0.1856555106348876,0.25,0.8924731182795699,0.1271682745690959,0.5,0.9247311827956988
20,13856,160,0.1010561108144436,0.5,0.9310344827586208,,,
21,14568,168,0.136942018943565,0.375,0.9197080291970804,,,
22,16368,176,0.0877908221908756,0.375,0.949404761904762,0.1882299360618257,0.5,0.912280701754386
23,17208,184,0.1467223766285489,0.125,0.8955223880597015,,,
24,17856,192,0.1246600348716042,0.5,0.92,,,
25,18632,200,0.1576356090164059,0.375,0.896,0.1166121754241552,0.375,0.9397590361445785
26,19216,208,0.1083372871227216,0.75,0.9649122807017544,,,
27,19736,216,0.0985756492492314,0.875,0.9824561403508772,,,
28,20320,224,0.100618622846033,0.875,0.9834710743801652,0.1403829047374107,0.875,0.975
29,21096,232,0.0877374647107169,0.875,0.9545454545454546,,,
30,21616,240,0.1016315160024382,0.875,0.9883720930232558,,,
