step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
31,22392,248,0.0682937859000066,0.75,0.9741379310344828,0.1059815417546935,0.625,0.8920863309352518
32,23424,256,0.0619057722773988,0.75,0.986013986013986,,,
33,24200,264,0.0776490242669768,0.375,0.9666666666666668,,,
34,25040,272,0.0690854374355574,0.625,0.968944099378882,0.1009954049159439,0.75,0.9527027027027029
35,25752,280,0.0674532259505219,0.75,0.9790209790209792,,,
36,26272,288,0.1061713434413526,0.625,0.9420289855072465,,,
37,27496,296,0.0601886220204725,0.75,0.9651162790697676,0.1451947111139494,0.75,0.9166666666666666
38,28144,304,0.0987582260177004,0.875,0.9859154929577464,,,
39,28856,312,0.0691372206326561,0.625,0.9640287769784172,,,
40,29440,320,0.0652626339044037,1.0,1.0,0.0912814598372607,0.5,0.9130434782608696
41,30216,328,0.0700201174054701,0.625,0.9565217391304348,,,
42,30864,336,0.0811113341191891,0.875,0.9882352941176472,,,
43,31576,344,0.0679307654036764,0.875,0.9834710743801652,0.1342708172061539,0.375,0.9224137931034484
44,32608,352,0.0477698864928787,0.75,0.9731182795698924,,,
45,33256,360,0.1320823995496347,0.5,0.9557522123893806,,,
46,33712,368,0.0996569029435331,1.0,1.0,0.1235505092111614,0.5,0.9290780141843972
47,35448,376,0.0464588665492878,0.375,0.9621993127147768,,,
48,37248,384,0.0337779638630803,0.625,0.9781420765027322,0.2002747936281918,0.125,0.8918918918918919
49,37896,392,0.0794772094578611,0.625,0.9739130434782608,,,
50,38864,400,0.0656109417510206,0.5,0.9701492537313432,,,
51,39640,408,0.0451935182298446,0.875,0.9861111111111112,0.1821908262489955,0.25,0.9269662921348316
52,40352,416,0.0450534882649161,0.875,0.994011976047904,,,
53,41192,424,0.0425587046582056,1.0,1.0,,,
54,41712,432,0.0603647514648167,1.0,1.0,0.1009295607764247,0.375,0.8834355828220859
55,42360,440,0.0471678249556265,1.0,1.0,,,
56,43392,448,0.0425691340440753,0.5,0.9710982658959536,,,
57,44424,456,0.0287160323491962,1.0,1.0,0.1466133763484703,0.875,0.94
58,45008,464,0.0696185989115619,1.0,1.0,,,
59,45528,472,0.0487943772808063,1.0,1.0,,,
60,46176,480,0.0592699139660845,1.0,1.0,0.1533124736540457,0.5,0.9111111111111112
61,46696,488,0.0670150778815068,0.875,0.9830508474576272,,,
62,47920,496,0.0310052072409599,1.0,1.0,,,
63,48504,504,0.0437210013953431,0.875,0.9873417721518988,0.1173871625329882,0.625,0.970873786407767
64,49152,512,0.0707750524601368,0.875,0.9879518072289156,,,
65,49672,520,0.0541782034230744,1.0,1.0,,,
66,51472,528,0.0199532374155855,1.0,1.0,0.1561591021527703,0.25,0.9173553719008264
67,52440,536,0.0357751363893531,1.0,1.0,,,
68,53088,544,0.0544344386057886,1.0,1.0,,,
69,53800,552,0.0643586675862061,0.875,0.9851851851851852,0.1826336610950494,0.5,0.9117647058823528
70,54384,560,0.0508524443191948,1.0,1.0,,,
71,56120,568,0.0195752346495857,0.875,0.9961832061068704,,,
72,56896,576,0.0634547840518012,0.875,0.992248062015504,0.1784645964087014,0.625,0.9347826086956522
73,57544,584,0.0422028869560093,1.0,1.0,,,
74,58128,592,0.0604831257683756,1.0,1.0,,,
75,58904,600,0.0548888908886655,1.0,1.0,0.1685252927041903,0.5,0.9152542372881356
76,59552,608,0.0333952241891769,1.0,1.0,,,
77,60200,616,0.0446512655844109,1.0,1.0,,,
78,60656,624,0.0703938235522092,1.0,1.0,0.1346428728818682,0.375,0.9261744966442952
79,61240,632,0.0495807933781403,1.0,1.0,,,
80,61952,640,0.0354969366537865,1.0,1.0,,,
81,62472,648,0.0606037954020794,1.0,1.0,0.0979598037302806,0.625,0.9509803921568628
82,62992,656,0.0520362120819564,1.0,1.0,,,
83,63640,664,0.0436680116545412,1.0,1.0,,,
84,64160,672,0.0588288914390287,1.0,1.0,0.1397569528115774,0.625,0.8961038961038961
85,65192,680,0.0338453514277133,0.875,0.9942196531791908,,,
86,65904,688,0.0335095600697872,1.0,1.0,,,
87,66744,696,0.037964916936464,1.0,1.0,0.1122526919111325,0.625,0.9509803921568628
88,68480,704,0.0206521070275299,0.875,0.9966996699669968,,,
89,69256,712,0.0480443619341149,0.875,0.9893617021276596,0.1326098092402358,0.5,0.918103448275862
90,70288,720,0.0342709787217467,1.0,1.0,,,
91,71064,728,0.0381293469762895,1.0,1.0,,,
92,71776,736,0.0386985951316993,1.0,1.0,0.1946457432103654,0.375,0.9057971014492754
93,72488,744,0.0362298720104737,1.0,1.0,,,
94,73072,752,0.0462550268742946,1.0,1.0,,,
95,73720,760,0.0449614381948888,0.875,0.9912280701754386,0.157988600623454,0.5,0.9261744966442952
96,74688,768,0.0386656419160913,1.0,1.0,,,
97,76488,776,0.0220020946577993,1.0,1.0,,,
98,77136,784,0.0632299369055399,1.0,1.0,0.1219871439552041,0.25,0.9224806201550388
99,77976,792,0.0338647548931528,1.0,1.0,,,
100,78688,800,0.0529309930786987,1.0,1.0,,,
101,79464,808,0.0493207721191222,1.0,1.0,0.140276318613168,0.5,0.9397590361445785
