Problem_CUI,Rx_CUI,co_occurrance_probability
C0302148,C0978650,0.02576489533011272
C0032227,C0939139,0.02576112412177986
C0009676,C0977344,0.025728987993138937
C0011860,C0975350,0.02570694087403599
C0085616,C0980228,0.02568807339449541
C0027651,C0976133,0.02567760342368046
C0267026,C1951501,0.02564102564102564
C3714514,C0689665,0.02564102564102564
C0034063,C0974671,0.0255863539445629
C0038454,C1951501,0.02554744525547445
C0085605,C1951501,0.025540275049115914
C0085605,C0595475,0.025537634408602152
C0019187,C1584819,0.02547770700636942
C0019080,C1584819,0.02540834845735027
C0206698,C1329857,0.025316455696202528
C0001127,C1329616,0.02519893899204244
C0032227,C4083864,0.02514713750668807
C0220983,C0785725,0.025078369905956112
C0085631,C0974671,0.025056947608200455
C0032227,C0780681,0.02495201535508637
C0546817,C1329616,0.024930747922437674
C0264490,C0980959,0.0249266862170088
C0039239,C0690813,0.0248868778280543
C0600688,C0875826,0.02469135802469136
C0238052,C0975411,0.024691358024691357
C0002940,C0980228,0.02467105263157895
C0013922,C1951501,0.02464065708418891
C0032227,C1169852,0.024511840465309517
C3714660,C0974671,0.024498886414253896
C0021308,C1951501,0.024475524475524476
C0206698,C1813086,0.02443991853360488
C0013404,C1951501,0.02443609022556391
C0600688,C0975414,0.024431339511373208
C0002940,C0875827,0.024415055951169887
C0021400,C0974670,0.024302430243024302
C0020517,C1879045,0.024255788313120176
C0032227,C1584819,0.024232633279483037
C0546817,C0974671,0.024229074889867842
C0031106,C0875717,0.024175824175824173
C0677042,C0974671,0.024175824175824173
C0011860,C0716500,0.024154589371980676
C0043144,C1966478,0.024096385542168676
C0020517,C4082775,0.024080267558528427
C2073348,C1329616,0.024079320113314453
C0034065,C2241231,0.02407932011331445
C0085605,C4049009,0.024075666380051593
C0036974,C0974671,0.024017467248908297
C0032227,C1813086,0.023985239852398525
C0038220,C1739168,0.02395964691046658
C0022658,C4082775,0.023943661971830985
C0001125,C0980959,0.023934181002243832
C0043144,C1613232,0.02387774594078319
C0022661,C0977396,0.023863636363636365
C0264490,C0713347,0.023858214042263123
C0040053,C1951501,0.023856858846918485
C0031106,C1879045,0.023839397741530734
C0010340,C1951501,0.02380952380952381
C0039239,C0973812,0.023809523809523808
C0020517,C0713347,0.023793787177792465
C0012359,C1584819,0.02376599634369287
C0004604,C0689843,0.02376237623762376
C0022661,C0710995,0.0237020316027088
C0021400,C0975350,0.023636363636363636
C0264490,C0785724,0.02363367799113737
C0856054,C1951501,0.023622047244094488
C0031106,C4048725,0.023612750885478154
C0043144,C1951501,0.023593466424682397
C1265876,C1329616,0.023578363384188627
C0039239,C0708306,0.023575638506876224
C0236663,C4281823,0.023517382413087935
C0017181,C0978650,0.023489932885906038
C0032227,C0973812,0.02347867752755151
C0302148,C0973812,0.02347867752755151
C3714660,C0688559,0.023450586264656615
C0546817,C0978650,0.023423423423423424
C0264490,C3887821,0.02340823970037453
C3714514,C0713347,0.02340425531914894
C3714514,C0981180,0.023404255319148935
C1258215,C0978650,0.02339181286549707
C0020456,C1951501,0.02339181286549707
C0028961,C1951501,0.02339181286549707
C3714514,C0975350,0.023386342376052385
C0041582,C1951501,0.02338129496402878
C0220983,C1639201,0.02336606840501185
C0302148,C0689843,0.02336448598130841
C0041582,C0981180,0.023346303501945526
C0038454,C1739168,0.023333333333333334
C0238052,C0974670,0.02332089552238806
C1258215,C1951501,0.023206751054852322
C0031106,C0778320,0.023178807947019868
C0022661,C0980959,0.02317161477190442
C0264490,C0973812,0.02314368370298939
C0302148,C4048845,0.02309278350515464
C0001127,C1639201,0.02308998302207131
C0039239,C4281823,0.023070097604259095
C0302148,C0691089,0.023067583974099557
C0034063,C1329616,0.023066485753052916
C0302148,C0780681,0.023032629558541264
C0302148,C0875805,0.023012552301255235
C0022658,C0974671,0.02301255230125523
C0600688,C0974671,0.022944550669216062
C0039239,C0981359,0.022942461762563725
C0011860,C0974670,0.02292020373514431
C0206698,C1584819,0.022887323943661973
C0023895,C0978650,0.022857142857142854
C0746883,C0690813,0.022849462365591402
C0302148,C1329616,0.02284263959390863
C0085762,C0773592,0.02283922973578146
C3714514,C1329857,0.022838499184339313
C0018681,C0774366,0.022818791946308724
C0600688,C5201042,0.022807017543859647
C0028754,C0687773,0.02277432712215321
C0302148,C2241231,0.022756005056890013
C0022661,C1329616,0.022727272727272728
C0085762,C0980636,0.022710068130204392
C0022661,C0981555,0.02269861286254729
C0020517,C0980959,0.02269503546099291
C0039239,C0689665,0.022630834512022628
C0264490,C1639201,0.02258934592043156
C0001127,C0780681,0.022587268993839837
C0036974,C0709509,0.02255639097744361
C0600688,C1584819,0.022508038585209004
C0085605,C0975414,0.022502250225022502
C0022661,C0973812,0.02247728359636537
C1265876,C0785724,0.02247191011235955
C0085577,C1951501,0.022448979591836733
C0220983,C1879045,0.02240566037735849
C0085605,C1320353,0.022404779686333087
C0011860,C0975120,0.022403258655804482
C0020517,C4048845,0.022375915378356384
C0022658,C0689843,0.022373540856031132
C0039239,C0974670,0.022355975924333624
C0036572,C0979504,0.022339027595269387
C0032227,C1951501,0.022336769759450172
C0001125,C0689843,0.022330097087378646
C0264490,C0782173,0.022323830016137705
C0745138,C4082775,0.022288261515601784
C0039239,C1877565,0.022271714922048998
C0596601,C1951501,0.022267206477732792
C1514893,C1584819,0.022263450834879406
C0019151,C0689706,0.022257551669316374
C0039239,C0982805,0.022255192878338277
C0085616,C0774366,0.022253129346314324
C0220983,C0780681,0.022222222222222223
C0011860,C0973812,0.02222222222222222
C0020456,C0977809,0.02219482120838471
C0220983,C0976530,0.022181146025878003
C0745283,C1951501,0.022177419354838707
C0032227,C0708306,0.022177419354838707
C0031106,C0361232,0.022132796780684104
C0546817,C0980959,0.02212051868802441
C0001122,C0691839,0.022082018927444793
C0003962,C0691839,0.022071307300509338
C0302148,C4048535,0.02207041513399895
C0022661,C0939047,0.022067363530778164
C0011860,C1329616,0.022058823529411763
C0036974,C1329616,0.02203856749311295
C0600688,C0973812,0.022009569377990434
C0206698,C4083864,0.022002200220022004
C0009492,C0978650,0.022
C0220983,C0778320,0.0219435736677116
C0021400,C0981359,0.021900519673348183
C0011860,C0974671,0.021897810218978103
C0025222,C1584819,0.0218978102189781
C0012359,C0978650,0.02185792349726776
C0302148,C2241232,0.02185792349726776
C0021308,C1329616,0.021850899742930592
C0041582,C0978650,0.021848739495798318
C0019158,C1584819,0.021825396825396824
C0020517,C0979757,0.021816562778272482
C0022658,C0361231,0.02181208053691275
C0031106,C1951501,0.02178217821782178
C0011860,C0939651,0.02177476000936549
C0206698,C4048725,0.021764032073310423
C0031106,C4083864,0.021763392857142856
C0020517,C0689843,0.021758839528558477
C0002940,C4281898,0.021711366538952746
C0751781,C1951501,0.021696252465483234
C0600688,C0974670,0.02168256721595837
C0043144,C0690121,0.02167545401288811
C0001125,C0690813,0.021660649819494587
C0011860,C0691089,0.02160864345738295
C0220983,C1951501,0.02158273381294964
C0022658,C0977396,0.02158273381294964
C0012634,C1951501,0.021568627450980392
C0017181,C1951501,0.021543985637342906
C0027651,C0688497,0.02147766323024055
C0019191,C0980228,0.02146690518783542
C0242656,C0690813,0.021464646464646468
C0036572,C1951501,0.021442495126705652
C0220983,C0981359,0.021425932766900628
C0043144,C1639201,0.021370420624151967
C0027651,C0687813,0.021361815754339118
C0496892,C0361231,0.021359223300970873
C1565489,C1951501,0.021359223300970873
C0039239,C2241232,0.021352313167259784
C0220983,C0973812,0.021348859776807377
C0027651,C0785724,0.021341463414634144
C0041582,C1329857,0.021308980213089797
C0003578,C1329616,0.021306818181818184
C0264490,C1169852,0.02130325814536341
C0085631,C4281823,0.021297192642787996
C0012359,C1329857,0.02127659574468085
C0018965,C1329616,0.02124645892351275
C1265876,C0974670,0.021237303785780242
C3714514,C0690813,0.021223470661672912
C0017181,C0936686,0.021216407355021217
C0085631,C1329616,0.021216407355021217
C0085605,C0977396,0.021170610211706103
C0302148,C0974671,0.021153846153846155
C0036974,C1951501,0.021153846153846155
C0006826,C1951501,0.021153846153846155
C0009676,C0689843,0.02110091743119266
C0220983,C0785724,0.021084337349397592
C0022658,C0706911,0.02106969205834684
C0302148,C0980959,0.02106027596223675
C0032227,C4049009,0.02103559870550162
C0856054,C1329616,0.02100840336134454
C0038454,C4082775,0.02100840336134454
C0302148,C1584819,0.0210016155088853
C0022661,C0974671,0.02099236641221374
C3714514,C0785724,0.020967741935483872
C0011860,C0977809,0.020942408376963352
C0031106,C4082775,0.020938628158844765
C0264490,C1879045,0.020905923344947733
C0031106,C1168934,0.020864381520119223
C0022661,C0693824,0.020833333333333336
C0238052,C0975414,0.020795660036166366
C0022661,C0875706,0.02076502732240437
C0264490,C0691089,0.02074857607811229
C0206698,C1951501,0.02071563088512241
C0032227,C0690813,0.02066590126291619
C0264490,C0981555,0.020618556701030927
C0022661,C0691089,0.020606060606060607
C0011860,C0973845,0.020603384841795438
C0001125,C0976530,0.02059925093632959
C0022661,C0690813,0.02057142857142857
C0028961,C0975350,0.020560747663551402
C0001973,C0688559,0.020560747663551402
C0020255,C4082727,0.020560747663551402
C0011860,C1169852,0.02053388090349076
C1265876,C0713347,0.020523708421797595
C1265876,C0975350,0.020522388059701493
C0032227,C4048535,0.020493956910141883
C0001127,C0976530,0.02048417132216015
C0018926,C0978650,0.020484171322160148
C0001127,C0973812,0.020457866536775452
C0264490,C0979757,0.020454545454545454
C0264490,C0975350,0.020426287744227355
C1140999,C1329616,0.02040816326530612
C0001973,C4281823,0.020387359836901122
C0040053,C0689706,0.020378457059679764
C0032227,C0690395,0.02037037037037037
C0302148,C3887821,0.020351526364477335
C0032227,C0980959,0.020334059549745823
C0009676,C0780681,0.02033271719038817
C0220983,C5201042,0.020332717190388167
C0001127,C0689843,0.020270270270270268
C0021400,C1951501,0.020257826887661142
C0036974,C0973812,0.020246913580246915
C0021308,C0973812,0.020221473278767454
C0085605,C0689706,0.0202020202020202
C0032227,C4048475,0.020187793427230045
C3714514,C4048535,0.020185488270594652
C0546817,C4048535,0.02014153511159499
C0001127,C1966478,0.020128824476650563
C0264490,C0706911,0.020123839009287926
C0001127,C1613232,0.020114942528735632
C0027651,C1951501,0.020072992700729927
C0751781,C4083864,0.020066889632107024
C0149801,C0975350,0.020057306590257878
C0022658,C0973812,0.020048899755501223
C1135191,C0978655,0.020036429872495445
C3714514,C1584819,0.020036429872495445
C2830004,C1329616,0.020026702269692925
C0040336,C0689760,0.020026702269692925
C0028961,C1584819,0.02
C0220983,C0978881,0.02
C0085605,C1879045,0.019975031210986267
C0039239,C0978624,0.019972131908964238
C1514893,C0778320,0.019933554817275746
C0014038,C0975414,0.019924098671726752
C0020517,C1639201,0.019920318725099605
C0264490,C0691839,0.01991465149359886
C0020517,C0690813,0.01991150442477876
C0020517,C0978624,0.019879796578825704
C0004604,C0785725,0.019867549668874173
C0038454,C0981555,0.019867549668874173
C0022658,C4082664,0.01985370950888192
C2830004,C0689665,0.01984732824427481
C0031106,C4049009,0.019844693701466784
C0220983,C4049009,0.01983471074380165
C0032227,C0691089,0.019830028328611898
C0746883,C0687813,0.019817073170731708
C0009676,C1329616,0.019801980198019802
C3714514,C3887821,0.019782393669634028
C0015970,C1879045,0.019762845849802372
C0546817,C4082778,0.019751693002257334
C0751781,C1329857,0.019736842105263153
C0264490,C0690121,0.019710144927536234
C0038454,C0689665,0.019696969696969695
C0031106,C1329616,0.01969057665260197
C0220983,C0981555,0.019659239842726082
C0206698,C0980959,0.0196078431372549
C0032227,C0713347,0.019594594594594596
C0001127,C1320353,0.01959361393323657
C0041582,C0785724,0.01957831325301205
C0032227,C0782173,0.01956580005360493
C0085616,C0875827,0.01956521739130435
C0020517,C1329857,0.01955307262569832
C0394996,C4281823,0.019547325102880656
C0032227,C3887765,0.0195422987914631
C3714514,C1329616,0.019498607242339833
C0011880,C0690082,0.01949317738791423
C0021308,C1739168,0.01948051948051948
C0041948,C0691839,0.01948051948051948
C0032227,C4048725,0.01948051948051948
C0009676,C0973812,0.01945894636924537
C0600688,C0690813,0.019450800915331808
C0022658,C1169852,0.019450317124735734
C0600688,C0977344,0.019434628975265017
C0032227,C0688627,0.019431988041853514
C0085577,C0689843,0.019427402862985683
C0206698,C3887821,0.019417475728155338
C0011860,C0875706,0.019417475728155338
C0677042,C1329616,0.019363762102351315
C0001127,C0980959,0.019359642591213703
C0264490,C1329616,0.01935483870967742
C0022661,C0687812,0.019354838709677417
C0039239,C4048724,0.019337016574585635
C0032227,C0978624,0.019333799208013043
C0002064,C0976908,0.01929824561403509
C0034063,C0978650,0.019298245614035085
C0020517,C0977275,0.01927437641723356
C0027651,C4282341,0.019254658385093167
C0041948,C0975350,0.019249278152069296
C0600688,C1739168,0.0192102454642476
C0751781,C0980959,0.019201228878648235
C0012359,C0980959,0.019157088122605363
C0027651,C0982805,0.019138755980861243
C0085605,C4048535,0.019125683060109287
C1258215,C1329616,0.01911764705882353
C0020437,C0689665,0.019097222222222224
C2830004,C0975350,0.01909090909090909
C0856054,C0689843,0.019076305220883535
C0036980,C0980959,0.019062748212867353
C0018926,C0689706,0.01906158357771261
C0036572,C0709156,0.01904761904761905
C0027651,C0785725,0.019047619047619046
C0011860,C0693824,0.019047619047619046
C0004604,C0785724,0.019047619047619046
C0745283,C0691839,0.019047619047619046
C0020517,C0977343,0.01902173913043478
C1140999,C4082778,0.019009216589861752
C0019557,C2241229,0.019005847953216377
C0042029,C1329616,0.019005847953216377
C0022658,C0978650,0.018998272884283247
C0021400,C0710995,0.01897983392645314
C2830004,C4082775,0.01897399859451862
C0034063,C0981555,0.018970189701897018
C0002064,C4048725,0.01895734597156398
C1565489,C0689843,0.018943170488534396
C0021308,C1169480,0.0189328743545611
C0302148,C0713347,0.01891891891891892
C0600688,C0976530,0.018901890189018902
C2830004,C0978650,0.018900343642611683
C0206698,C4048535,0.01889848812095032
C0017181,C0689706,0.018893387314439944
C0085605,C0690673,0.01888772298006296
C0085605,C1169852,0.018851756640959727
C0020517,C3887821,0.018850987432675045
C0020517,C0875706,0.01882732651963421
C0043144,C0977275,0.018823529411764708
C0220983,C4082775,0.018802228412256265
C0085605,C2917671,0.018789144050104383
C0302148,C4048475,0.018779342723004695
C0038454,C4082727,0.018779342723004692
C0022661,C0782173,0.018741633199464522
C0022661,C2918857,0.018722466960352426
C0220983,C1739168,0.018722466960352426
C0032227,C1168934,0.018716577540106954
C0149801,C0976530,0.0187007874015748
C0022661,C4083864,0.01868659903897491
C0149801,C1329616,0.01867816091954023
C0085577,C1329616,0.01867816091954023
C0039239,C1329857,0.01867816091954023
C0004604,C0691089,0.018664454583160513
C0206698,C0689665,0.018662519440124415
C0264490,C4048845,0.018656716417910446
C0264490,C0690813,0.018648018648018648
C0600688,C0689843,0.01863932898415657
C0264490,C4082775,0.018633540372670804
C0546817,C4082775,0.01862464183381089
C0017160,C0690813,0.018617021276595747
C0027651,C0978744,0.018612521150592216
C0032227,C0709509,0.018604651162790697
C0001125,C1169852,0.018588931136459656
C0010340,C1879045,0.01856763925729443
C0011860,C1584819,0.01854714064914992
C0011860,C0977136,0.018544935805991442
C0745138,C0690813,0.018543046357615896
C0206698,C0709509,0.01854140914709518
C0001122,C0980959,0.018532818532818532
C0041582,C0980959,0.018504811250925242
C0021400,C2918857,0.018497109826589593
C0039239,C0785724,0.01849217638691323
C0878544,C0693822,0.018487394957983194
C0011860,C0976530,0.018485915492957746
C0085605,C0713347,0.018479033404406542
C0085605,C4048475,0.01847350510452115
C0043144,C0981555,0.018469656992084433
C0302148,C4082775,0.01846785225718194
C0039239,C4048845,0.018457752255947493
C0025286,C0688496,0.018450184501845015
C0032227,C0975350,0.018437225636523266
C0022661,C3887821,0.018433179723502304
C0600688,C4082775,0.01843003412969283
C0085762,C0689760,0.018427518427518427
C0039239,C4049009,0.018414731785428344
C0220983,C0980228,0.018404907975460124
C0001127,C4048845,0.018402342116269343
C0021400,C0979757,0.018399264029438825
C0004604,C0689174,0.01839464882943144
C0206698,C0975350,0.01838235294117647
C0220983,C0978606,0.01837270341207349
C0085605,C0973812,0.018371400198609732
C0020258,C0977786,0.01836654943337241
C0041582,C4048845,0.01834097540641934
C0020517,C1966478,0.018334606569900685
C0020517,C0782173,0.018331562167906483
C3714514,C0976530,0.018304431599229287
C0004604,C0982805,0.018302828618968387
C0032227,C0687773,0.018302828618968387
C0206698,C0690813,0.018292682926829267
C0001127,C0785724,0.018292682926829267
C0264490,C0688627,0.018292682926829267
C2830004,C1613232,0.01828681424446583
C0022661,C4048475,0.018275538894095597
C0264490,C0976530,0.018264840182648404
C0036974,C0980959,0.018250950570342206
C0020517,C0981555,0.018248175182481754
C3714660,C4281823,0.018216682646212845
C0022661,C0974670,0.018197573656845753
C0022661,C0688950,0.01819454163750875
C0206698,C0977396,0.018181818181818184
C0022658,C0693824,0.01818181818181818
C0031106,C1329857,0.01815181518151815
C0264490,C1584819,0.01815181518151815
C0032227,C4048845,0.018144329896907216
C0600688,C0980959,0.018115942028985508
C0020517,C0981359,0.018076644974692697
C0032227,C0976530,0.018050541516245487
C0206698,C0691839,0.01804511278195489
C0012359,C0689843,0.018036072144288578
C0032227,C4082664,0.018018018018018018
C0019054,C1879045,0.018018018018018014
C0546817,C0978606,0.018005540166204988
C0220983,C0691089,0.0179959100204499
C0031106,C1320353,0.01797752808988764
C3714514,C4082775,0.017959770114942528
C0302148,C4082743,0.017945109078114006
C0302148,C0688627,0.017937219730941704
C0032227,C0981359,0.01792901573362605
C0020517,C0975350,0.017918088737201365
C1517205,C0689843,0.01791359325605901
C0302148,C0978881,0.01790633608815427
C0041948,C0710995,0.017902813299232736
C0040053,C0689665,0.01788617886178862
C0009676,C0875706,0.017876489707475622
C0264490,C4282000,0.017871649065800164
C0039239,C4082743,0.01786339754816112
C0004604,C1329616,0.017857142857142856
C0600688,C1169852,0.017842323651452285
C0022661,C0693823,0.017828200972447326
C0206698,C1169852,0.017826825127334463
C0546817,C0973812,0.017812963879267688
C0267026,C1329616,0.017804154302670624
C0032227,C4082775,0.017783857729138167
C0751781,C0689665,0.017770597738287562
C0039239,C4048535,0.017745302713987474
C0039239,C0785725,0.01772525849335303
C0042963,C0690813,0.017721518987341773
C0085605,C0689665,0.017713365539452495
C0009676,C0875827,0.017707362534948742
C0010200,C0977275,0.017704517704517704
C0011860,C0977396,0.017699115044247787
C0302148,C0782173,0.017689627445725005
C0206698,C0973812,0.01768172888015717
C2830004,C0691089,0.01768092105263158
C0021400,C0691089,0.01768092105263158
C0009676,C0691089,0.017663588920112404
C0021400,C0690121,0.017657445556209538
C0302148,C4083864,0.017656500802568222
C0022661,C1320353,0.01765536723163842
C0011860,C0690321,0.017644645055395976
C0206698,C0978606,0.017639077340569877
C0020517,C0688874,0.0176
C0019557,C2241233,0.017587939698492462
