step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,1680,16,0.6022797127021182,0.0,0.6494845360824743,0.4174208142513789,0.0,0.6714801444043321
2,4128,32,0.2495470260608223,0.0,0.6557971014492754,,,
3,5424,48,0.3685491053446026,0.0,0.7644787644787645,,,
4,6720,64,0.2698773534249153,0.125,0.822429906542056,0.1945757249049505,0.375,0.900763358778626
5,8400,80,0.1689300635543651,0.375,0.8802083333333334,,,
6,9952,96,0.188882996860192,0.375,0.9133574007220217,,,
7,11504,112,0.1361384938067388,0.375,0.939622641509434,0.2057017316655305,0.1875,0.8982035928143712
8,13952,128,0.0808706098480017,0.25,0.9305555555555556,,,
9,15632,144,0.1509001029133393,0.25,0.906896551724138,,,
10,16928,160,0.1428582646258704,0.6875,0.965686274509804,0.1857061166916278,0.375,0.9003021148036254
11,18992,176,0.0970625463131436,0.5625,0.9289340101522844,,,
12,20416,192,0.136174859852355,0.625,0.9310344827586208,,,
13,21968,208,0.1365317029405299,0.5625,0.8814432989690721,0.134717036957856,0.5625,0.9183673469387756
14,23520,224,0.1218022739407111,0.6875,0.9617486338797814,,,
15,25072,240,0.1126837456871283,0.375,0.9094827586206896,,,
16,28544,256,0.0801047561498215,0.4375,0.9106280193236715,0.0887415351321869,0.5625,0.9589552238805972
17,29968,272,0.1282534978682678,0.5625,0.9649805447470816,,,
18,31520,288,0.1071289332542218,0.5,0.9396551724137931,,,
19,33840,304,0.0626369860662116,0.8125,0.9777777777777776,0.0935117571772708,0.75,0.9508928571428572
20,35904,320,0.0911180212170722,0.5,0.93125,,,
21,37328,336,0.167994491721485,0.5625,0.9234042553191488,,,
22,40288,352,0.0680890300982929,0.5625,0.9559748427672956,0.1482444961003381,0.375,0.9122137404580152
23,41840,368,0.0994821791375364,0.625,0.9390862944162436,,,
24,45440,384,0.0581859144498057,0.375,0.9411764705882352,,,
25,47376,400,0.112138059908343,0.5,0.95578231292517,0.1066458020979406,0.4375,0.9425981873111784
26,48928,416,0.0834260924858236,0.6875,0.9765625,,,
27,52144,432,0.0433063951931321,0.6875,0.972644376899696,,,
28,55744,448,0.041547817914036,0.6875,0.984126984126984,0.1265062188695462,0.5,0.9400921658986175
29,57296,464,0.0788157394900678,0.6875,0.9720670391061452,,,
30,58976,480,0.0733263549818351,0.6875,0.9785407725321889,,,
31,61040,496,0.048781253546508,0.6875,0.9789915966386554,0.1423453875588232,0.4375,0.92831541218638
32,62208,512,0.0865734905204651,0.875,0.9896907216494846,,,
33,63632,528,0.0669176287651356,0.9375,0.9914529914529916,,,
