step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
34,65056,544,0.067872678845325,0.8125,0.9836065573770492,0.1188368897290507,0.5,0.91796875
35,66608,560,0.0644756823443871,0.9375,0.9940476190476192,,,
36,68032,576,0.0967615149686219,0.6875,0.9591836734693876,,,
37,69200,592,0.0845988177960755,0.8125,0.9793103448275862,0.1427267187442689,0.6875,0.9447513812154696
38,70624,608,0.0708273655894295,0.9375,0.995575221238938,,,
39,73072,624,0.0457268151159843,0.8125,0.9863013698630136,,,
40,74496,640,0.0811422258328651,0.8125,0.985239852398524,0.1234409767611028,0.4375,0.9080459770114944
41,75920,656,0.0690761802059644,0.8125,0.9864864864864864,,,
42,77472,672,0.0954978086885404,0.75,0.9727626459143968,,,
43,79408,688,0.0561985977380788,0.6875,0.9826388888888888,0.0809519043799602,0.625,0.9619377162629758
44,81088,704,0.0689331546819982,0.75,0.9761904761904762,,,
45,84560,720,0.0452458415506206,0.6875,0.9813519813519812,,,
46,86624,736,0.0605203673486009,0.75,0.973568281938326,0.1341927015720977,0.5625,0.9471544715447154
47,88304,752,0.0734406345812495,0.6875,0.9773584905660376,,,
48,89856,768,0.0713668435370609,0.6875,0.958904109589041,,,
49,91408,784,0.0830635224137769,0.6875,0.9727626459143968,0.1364921769934883,0.375,0.9467213114754098
50,92832,800,0.0820081906170879,0.8125,0.9815668202764976,,,
51,94896,816,0.0477993593933994,0.75,0.9844961240310076,,,
52,98112,832,0.0286988052812853,0.75,0.9848942598187312,0.124596878739575,0.375,0.9440298507462688
53,99536,848,0.0637717970820943,0.875,0.9925650557620818,,,
54,100960,864,0.0550761156310039,1.0,1.0,,,
55,102512,880,0.0556299339911394,1.0,1.0,0.1328154932341859,0.5625,0.9306930693069309
56,104192,896,0.0578890219634782,1.0,1.0,,,
57,105744,912,0.05167421766972,0.9375,0.9943181818181818,,,
58,107168,928,0.0639470675510887,0.6875,0.9736842105263158,0.1425353648421059,0.5,0.9061032863849764
59,110640,944,0.0236822983387963,0.9375,0.9966777408637874,,,
60,112192,960,0.0640911341928106,0.875,0.9872340425531916,,,
61,113872,976,0.0445792135602631,1.0,1.0,0.0883747647174263,0.75,0.96875
62,115168,992,0.0637010638494528,0.9375,0.9923664122137404,,,
63,116720,1008,0.06737176644914,1.0,1.0,,,
64,118400,1024,0.051264111044087,0.8125,0.9890909090909092,0.149484868423523,0.375,0.9310344827586208
65,119952,1040,0.0490163292145068,1.0,1.0,,,
66,122400,1056,0.0303252675717594,0.75,0.9805825242718448,,,
67,126000,1072,0.0265389805600602,0.9375,0.9966101694915256,0.1689477158267358,0.3125,0.9358490566037736
68,127424,1088,0.046974100608245,0.9375,0.9946524064171124,,,
69,129744,1104,0.0343333443319163,0.9375,0.9957627118644068,,,
70,131040,1120,0.0687955313265169,1.0,1.0,0.126826311527037,0.5625,0.9442622950819672
71,132464,1136,0.0524925938772389,0.9375,0.996078431372549,,,
72,135424,1152,0.0321311839156682,0.9375,0.9975490196078431,,,
73,137360,1168,0.0390478793573171,1.0,1.0,0.0948692153680288,0.5625,0.950530035335689
74,139808,1184,0.0357916110126957,0.9375,0.9968652037617556,,,
75,141232,1200,0.0478005916503157,1.0,1.0,,,
76,144832,1216,0.0261094575790486,1.0,1.0,0.1029034542530932,0.4375,0.9483870967741936
77,146384,1232,0.057461207599454,1.0,1.0,,,
78,148832,1248,0.0307015209765659,0.875,0.9925650557620818,,,
79,150256,1264,0.0507090779518662,0.9375,0.9945945945945946,0.1147798746558781,0.5,0.9197080291970804
80,151424,1280,0.0625374187330794,1.0,1.0,,,
81,152848,1296,0.0696878221586391,1.0,1.0,,,
82,154528,1312,0.0613128304853777,0.9375,0.9953917050691244,0.1492677539274962,0.375,0.9429657794676806
83,157744,1328,0.028413993169556,0.9375,0.9963503649635036,,,
84,159168,1344,0.0358436371809037,0.9375,0.996124031007752,,,
85,160848,1360,0.0461271065071217,0.9375,0.9963898916967509,0.0959905010230653,0.6875,0.956989247311828
86,163808,1376,0.0206871658307306,0.9375,0.9971509971509972,,,
87,165104,1392,0.0582872906991548,1.0,1.0,,,
88,167424,1408,0.0366209472946005,1.0,1.0,0.1206674503996671,0.625,0.9520958083832336
89,168592,1424,0.063143655187835,0.9375,0.9948717948717948,,,
90,170016,1440,0.061292872215257,1.0,1.0,,,
91,171952,1456,0.0405837300241079,1.0,1.0,0.1183707660452265,0.4375,0.935
92,174400,1472,0.0222115414317954,1.0,1.0,,,
93,175824,1488,0.0429355711272082,1.0,1.0,,,
94,177376,1504,0.0541852273578766,0.9375,0.9952830188679244,0.1542274931536622,0.4375,0.9276595744680852
95,178928,1520,0.0484357772617185,0.9375,0.9935897435897436,,,
96,180608,1536,0.0502518559454201,0.9375,0.9969788519637462,,,
97,182160,1552,0.0503427668868894,0.875,0.993006993006993,0.1370793375651501,0.5,0.925764192139738
98,183712,1568,0.0513184075123639,0.9375,0.996309963099631,,,
99,185776,1584,0.0343558524180513,1.0,1.0,,,
100,189248,1600,0.023363763905049,0.9375,0.9965034965034965,0.1527843643524968,0.5625,0.9518518518518518
101,190928,1616,0.0530705447614511,1.0,1.0,,,
