C0361699,C0365750,1.0
C4082777,C0550440,0.991390194168525
C4282051,C0550440,0.99081249892305
C4082777,C0550246,0.988530358755056
C4082777,C0550447,0.986697199320031
C4282051,C0550447,0.980726011808744
C4282051,C0550246,0.976039714119987
C3888181,C0486259,0.947247451445686
C4082777,C0364127,0.945142700649517
C4282051,C0364207,0.944102370698522
C4082777,C0364479,0.943471531111811
C4282051,C0364133,0.939379068206005
C4282051,C0364479,0.936596053166938
C4282051,C0362910,0.936571517035707
C4282051,C0362934,0.934701108210635
C4082777,C0364207,0.925333156655527
C4281944,C0364127,0.925303140512231
C4282051,C0364127,0.925130851586424
C4281944,C0550447,0.924339076100501
C4082777,C0365392,0.922959380805819
C4281944,C0550246,0.922471384040184
C0980955,C0486259,0.919972042601389
C4282051,C0366777,0.919210817067299
C4282051,C0365392,0.917158032635224
C4082777,C0362934,0.91391490166817
C4282050,C0364133,0.913336983418493
C4082777,C0364133,0.911498772830836
C4082777,C0362910,0.910492210947944
C4281944,C0550440,0.907650661831029
C4282051,C0362923,0.906551791437531
C4281944,C0364479,0.905078593221022
C4282061,C0486259,0.898806109105366
C4282051,C0486259,0.897234325344492
C4082777,C0366777,0.892860932187798
C4282051,C0364096,0.891478508401436
C4282061,C0364133,0.890688032336551
C4082777,C1369594,0.888327332077776
C4282051,C0362907,0.885510202278296
C1169602,C0944729,0.883141373263126
C4082777,C0364096,0.881683243318891
C0361697,C0365750,0.880085394487716
C4082777,C0362923,0.880017564689389
C4282056,C0364133,0.879398187298805
C4282050,C0550440,0.875685419573627
C4282051,C1315166,0.870927362687976
C4082777,C0362907,0.870481835842919
C4282050,C0486259,0.869945230444204
C4048223,C0364127,0.868459046135413
C4282051,C1369594,0.867641508444993
C4082777,C1315166,0.864915701614028
C4282056,C0550440,0.863371505261099
C0977439,C0486259,0.861019377237703
C4082777,C0486259,0.860865789832681
C4281944,C0365392,0.859937554974634
C4282050,C0364207,0.859652181416586
C0980955,C0550246,0.858064561897213
C4282050,C0363885,0.858060772222231
C0980955,C0550447,0.856760644496902
C4282050,C0550447,0.856122437905055
C4282056,C0363885,0.854654843589436
