step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
122,38024,488,0.0295316485501551,0.75,0.9821428571428571
123,38284,492,0.031010144152631994,1.0,1.0
124,38544,496,0.041646721182613346,1.0,1.0
125,38900,500,0.0256696215016557,0.75,0.975609756097561
126,39256,504,0.052133014465890394,1.0,1.0
127,39612,508,0.040825113508447204,0.5,0.981651376146789
128,39840,512,0.020436226207774657,1.0,1.0
129,40196,516,0.04084162252553108,1.0,1.0
130,41064,520,0.03162479582048874,1.0,1.0
131,41324,524,0.07850925132052342,0.75,0.9705882352941176
132,41584,528,0.05657510727536552,0.75,0.9836065573770492
133,42196,532,0.023783801940157206,0.75,0.9809523809523809
134,42488,536,0.03787395416791956,0.75,0.98
135,43292,540,0.04409605210133412,0.75,0.9882352941176471
136,43584,544,0.02196051489023263,1.0,1.0
137,43972,548,0.023943307433308872,1.0,1.0
138,44328,552,0.05198909443022899,0.75,0.9705882352941176
139,44588,556,0.03206929770359236,0.75,0.9871794871794872
140,44720,560,0.055821842306168365,1.0,1.0
141,44916,564,0.05797699538366305,1.0,1.0
142,45336,568,0.046936495300063656,1.0,1.0
143,45692,572,0.029151615438986384,1.0,1.0
144,45952,576,0.0396756583111786,0.75,0.9772727272727273
145,46212,580,0.023969344084601343,1.0,1.0
146,47080,584,0.014882501784280825,1.0,1.0
147,47372,588,0.020980717540091478,1.0,1.0
148,48176,592,0.03291226802313858,0.75,0.9887005649717514
149,48436,596,0.044499736661421,1.0,1.0
150,48664,600,0.027459203181764535,1.0,1.0
151,49052,604,0.044807857434343026,0.75,0.9642857142857143
152,49312,608,0.02389540004858719,1.0,1.0
153,49572,612,0.021334742739836043,1.0,1.0
154,49928,616,0.037951122045060875,0.75,0.9876543209876543
155,50284,620,0.014267852774929965,1.0,1.0
156,50576,624,0.04221480324709535,0.75,0.9868421052631579
157,51188,628,0.011388091757766795,1.0,1.0
158,51480,632,0.026160394906085727,1.0,1.0
159,51740,636,0.033851494854203606,1.0,1.0
160,52064,640,0.031646077620261115,1.0,1.0
161,52260,644,0.03411417970057637,1.0,1.0
162,52744,648,0.018888425307684358,1.0,1.0
163,52972,652,0.02399560872916981,1.0,1.0
164,53232,656,0.033880177143466694,1.0,1.0
165,53492,660,0.00989427390951847,1.0,1.0
166,53688,664,0.03729049405415315,1.0,1.0
167,53980,668,0.03252043420891974,1.0,1.0
168,54240,672,0.029084857395522513,1.0,1.0
169,54436,676,0.033662745233287224,1.0,1.0
170,54696,680,0.03259864290292268,1.0,1.0
171,55180,684,0.02228585469037007,1.0,1.0
172,55440,688,0.03073795689393677,1.0,1.0
173,55700,692,0.02797851324373969,1.0,1.0
174,56056,696,0.016936363010263186,0.75,0.9907407407407407
175,56316,700,0.03740731674833726,1.0,1.0
176,56704,704,0.02929142212151774,1.0,1.0
177,56932,708,0.04440478543852464,1.0,1.0
178,57128,712,0.02338015418441621,1.0,1.0
179,57420,716,0.025666221952276816,1.0,1.0
180,57744,720,0.01986594287654189,1.0,1.0
181,57940,724,0.05245817682827939,1.0,1.0
182,58328,728,0.02228918613637522,1.0,1.0
183,58588,732,0.03369895291459564,1.0,1.0
184,58784,736,0.025666237841913703,1.0,1.0
185,59044,740,0.03662789639869928,1.0,1.0
186,59304,744,0.018485996056943815,1.0,1.0
187,59660,748,0.039313710612953044,0.75,0.9615384615384616
188,60016,752,0.0221903346222856,1.0,1.0

